treated,age,educ,black,hispanic,married,nodegree,re74,re75,re78,dwincl,early_ra,dataset,diff,u74,u75,age2,age3,educ2,re742,re752,black_u74,educ_re74,u74_hispanic,married_re74,married_u74
1,33,12,0,0,1,0,0,0,12418.07,1,0,0,12418.07,1,1,1089,35.937,144,0,0,0,0,0,0,1
1,20,12,0,0,1,0,8644.1563,8644.1563,11656.506,0,0,0,3012.3496,0,0,400,8,144,74721440,74721440,0,103729.88,0,8644.1563,0
0,39,12,1,0,1,0,19785.32,6608.1372,499.2572,1,1,0,-6108.8799,0,0,1521,59.319,144,391458912,43667476,0,237423.84,0,19785.32,0
1,49,8,0,0,1,1,9714.5967,7285.9478,16717.121,0,0,0,9431.1738,0,0,2401,117.649,64,94373392,53085036,0,77716.773,0,9714.5967,0
0,26,8,0,0,1,1,37211.758,36941.266,30247.5,0,0,0,-6693.7656,0,0,676,17.576,64,1384714880,1364657152,0,297694.06,0,37211.758,0
0,38,10,1,0,1,1,14759.063,14701.947,4393.5229,0,0,0,-10308.424,0,0,1444,54.872002,100,217829952,216147248,0,147590.64,0,14759.063,0
0,28,12,0,0,0,0,0,803.34302,16477.02,1,1,0,15673.677,1,0,784,21.952,144,0,645360,0,0,0,0,0
0,27,12,1,0,1,0,0,752.39008,0,1,1,0,-752.39008,1,0,729,19.683001,144,0,566090.81,1,0,0,0,1
1,33,12,1,0,1,0,20279.949,10941.35,15952.6,1,1,0,5011.25,0,0,1089,35.937,144,411276352,119713128,0,243359.39,0,20279.949,0
0,44,9,1,0,1,1,12260.78,10857.24,12359.31,1,1,0,1502.0693,0,0,1936,85.183998,81,150326736,117879664,0,110347.02,0,12260.78,0
0,28,10,0,0,1,1,5440.8184,6346.1929,6793.0771,0,0,0,446.88428,0,0,784,21.952,100,29602504,40274164,0,54408.184,0,5440.8184,0
0,31,12,0,0,0,0,0,494.64301,0,1,0,0,-494.64301,1,0,961,29.791,144,0,244671.7,0,0,0,0,0
0,24,12,0,0,1,0,28262.131,24294.746,665.73743,0,0,0,-23629.008,0,0,576,13.824,144,798748032,590234688,0,339145.56,0,28262.131,0
0,29,12,0,0,0,0,12116.611,12205.143,16328.964,0,0,0,4123.8213,0,0,841,24.389,144,146812272,148965504,0,145399.34,0,0,0
0,20,11,0,0,1,1,7254.4199,8159.5068,6336.7827,0,0,0,-1822.7241,0,0,400,8,121,52626608,66577552,0,79798.617,0,7254.4199,0
0,22,10,0,0,1,1,25720.92,23031.98,5448.8008,1,1,0,-17583.18,0,0,484,10.648,100,661565696,530472128,0,257209.2,0,25720.92,0
1,35,9,1,0,1,1,13602.43,13830.64,12803.97,1,1,0,-1026.6699,0,0,1225,42.875,81,185026096,191286592,0,122421.87,0,13602.43,0
1,42,9,1,0,1,1,0,3058.531,1294.4091,1,0,0,-1764.1219,1,0,1764,74.087997,81,0,9354612,1,0,0,0,1
1,21,13,0,0,0,0,9978.751,8616.8525,99.570015,0,0,0,-8517.2822,0,0,441,9.2609997,169,99575472,74250144,0,129723.77,0,0,0
1,23,12,0,0,0,0,5204.2598,3903.1948,796.55969,0,0,0,-3106.6353,0,0,529,12.167,144,27084320,15234930,0,62451.117,0,0,0
0,18,12,0,0,0,0,735.20508,735.20508,2502.5259,0,0,0,1767.3208,0,0,324,5.8319998,144,540526.5,540526.5,0,8822.4609,0,0,0
1,22,12,0,0,0,0,6759.9941,8455.5039,12590.71,1,1,0,4135.2061,0,0,484,10.648,144,45697520,71495544,0,81119.93,0,0,0
0,20,12,0,0,0,0,4139.7534,3104.8152,12573.966,0,0,0,9469.1504,0,0,400,8,144,17137558,9639877,0,49677.039,0,0,0
0,22,12,1,0,1,0,9420.6719,9352.1992,8072.1816,0,0,0,-1280.0176,0,0,484,10.648,144,88749056,87463632,0,113048.06,0,9420.6719,0
0,35,11,1,0,1,1,7096.7158,8720.9053,0,0,0,0,-8720.9053,0,0,1225,42.875,121,50363376,76054192,0,78063.875,0,7096.7158,0
1,27,13,0,0,1,0,9381.5664,853.72247,0,1,1,0,-853.72247,0,0,729,19.683001,169,88013792,728842.06,0,121960.36,0,9381.5664,0
0,41,12,1,0,0,0,10707.161,9818.4668,0,0,0,0,-9818.4668,0,0,1681,68.920998,144,114643296,96402288,0,128485.94,0,0,0
0,30,11,1,0,1,1,0,9311.9385,3982.801,1,1,0,-5329.1377,1,0,900,27,121,0,86712200,1,0,0,0,1
1,22,12,0,1,1,0,492.2305,7055.7021,10092.83,1,1,0,3037.1279,0,0,484,10.648,144,242290.86,49782932,0,5906.7661,0,492.2305,0
1,27,12,1,0,1,0,10408.516,7806.3867,2777.5852,0,0,0,-5028.8018,0,0,729,19.683001,144,108337200,60939672,0,124902.19,0,10408.516,0
1,42,14,1,0,1,0,0,0,13167.52,1,1,0,13167.52,1,1,1764,74.087997,196,0,0,1,0,0,0,1
0,27,10,1,0,1,1,13542.27,11280.711,0,0,0,0,-11280.711,0,0,729,19.683001,100,183393072,127254440,0,135422.69,0,13542.27,0
1,41,14,0,0,0,0,0,0,5149.501,1,0,0,5149.501,1,1,1681,68.920998,196,0,0,0,0,0,0,0
0,50,8,1,0,1,1,7506.7339,5630.0503,8997.1934,0,0,0,3367.1431,0,0,2500,125,64,56351052,31697466,0,60053.871,0,7506.7339,0
1,26,10,1,0,1,1,9773.9531,8141.7031,4635.6602,0,0,0,-3506.043,0,0,676,17.576,100,95530160,66287328,0,97739.531,0,9773.9531,0
0,25,10,1,0,1,1,12428.122,11696.372,11127.28,0,0,0,-569.0918,0,0,625,15.625,100,154458224,136805120,0,124281.22,0,12428.122,0
1,35,8,1,0,1,1,13732.07,17976.15,3786.6279,1,1,0,-14189.522,0,0,1225,42.875,64,188569760,323141984,0,109856.56,0,13732.07,0
0,25,9,1,0,1,1,24731.619,16946.631,7343.9639,1,1,0,-9602.667,0,0,625,15.625,81,611652992,287188288,0,222584.58,0,24731.619,0
1,33,11,1,0,1,1,14660.71,25142.24,4181.9419,1,1,0,-20960.299,0,0,1089,35.937,121,214936416,632132224,0,161267.81,0,14660.71,0
0,28,12,1,0,1,0,0,0,0,1,1,0,0,1,1,784,21.952,144,0,0,1,0,0,0,1
0,27,11,1,0,1,1,20249.225,20035.256,9074.7637,0,0,0,-10960.492,0,0,729,19.683001,121,410031104,401411488,0,222741.47,0,20249.225,0
1,46,8,1,0,1,1,0,0,3094.156,1,0,0,3094.156,1,1,2116,97.335999,64,0,0,1,0,0,0,1
0,30,14,1,0,1,0,0,0,7344.6782,1,1,0,7344.6782,1,1,900,27,196,0,0,1,0,0,0,1
